# WISE W3 and W4 synthesis photometry flux from the Spitzer/IRS spectra
# objname     tag        f_{W3, tot}    f_{W4, tot}    f_{W3, AGN}   f_{W4, AGN}
cassis-26920192-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-25390336-0      1     10.6013975      8.5085726     10.6013975      8.5085726
cassis-25390080-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-25389824-0      1     10.2546816      7.6158261     10.2546816      7.6158261
cassis-25388288-0      1     10.7892208      8.5916290     10.7892208      8.5916290
cassis-21768448-0      1      9.9221945      8.2119331     10.1160088      8.4601412
cassis-26917632-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-15083520-0      1      6.9710569      4.9004250      6.9710569      4.9004250
cassis-17725952-0      1      9.1850052      6.9383087      9.4570065      7.1854539
cassis-15082496-0      1      7.7353835      5.3712316      7.8397574      5.4698048
cassis-10950400-0      1      8.6430111      6.1534872      8.6430111      6.1534872
cassis-10950913-0      1      8.5156584      6.2805476      8.5156584      6.2805476
cassis-24151040-0      1      9.5579777      6.9757133      9.5579777      6.9757133
cassis-24147712-0      1      9.3366852      7.0446672      9.3366852      7.0446672
cassis-24172288-0      1      9.4227047      6.9176135      9.4227047      6.9176135
cassis-24163072-0      1     10.1318913      7.8038473     10.1318913      7.8038473
cassis-24192768-0      1     10.0708122      8.0279999     10.0708122      8.0279999
cassis-12236800-0      1      8.1362629      5.7101831      8.1362629      5.7101831
cassis-17728512-0      1      9.3046999      7.2354603      9.3046999      7.2354603
cassis-15078912-0      1      9.1551638      7.2477751      9.1551638      7.2477751
cassis-24161280-2      1      9.9907246      7.5993381     10.5248423      7.9948816
cassis-24154624-2      1      9.2965574      7.3391719      9.2965574      7.3391719
cassis-4732416-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-4164352-0      1      7.1715679      4.8846045      7.1715679      4.8846045
cassis-4674304-0      1      7.5288181      5.4871039      7.5288181      5.4871039
cassis-24190464-1      1     10.1155901      8.0000677     10.1155901      8.0000677
cassis-24193536-1      1      9.8539314      7.9641533     10.5050116      8.9368210
cassis-21655552-0      1     10.2015152      7.6060629     10.2015152      7.6060629
cassis-17728000-0      1     11.3220100      9.4790611     11.3220100      9.4790611
cassis-18978560-0      1      8.1435318      6.5048161      8.1435318      6.5048161
cassis-17540352-0      1      7.0478554      4.8534832      7.0478554      4.8534832
cassis-17726720-0      1     10.4280100      8.3281174     10.4280100      8.3281174
cassis-17726976-0      1      9.6533213      8.1555986      9.6533213      8.1555986
cassis-17727744-0      1      9.4644146      7.6866426      9.4644146      7.6866426
cassis-17727488-0      1     11.0926027      8.8975258     11.0926027      8.8975258
cassis-22391040-0      1      6.9705248      5.2218328      6.9705248      5.2218328
cassis-17728256-0      1     11.4958086      9.6741419     11.4958086      9.6741419
cassis-17729536-0      1     11.0948572      9.3166075     11.0948572      9.3166075
cassis-24164096-0      1      8.8479195      6.7204261      8.8479195      6.7204261
cassis-24173312-0      1      9.5761013      7.5855927      9.5761013      7.5855927
cassis-24145408-0      1      8.8791018      6.7788839      9.6899548      7.8302436
cassis-21768192-0      1      9.1965942      7.3638988      9.1965942      7.3638988
cassis-17542912-0      1      9.8463917      7.4667478      9.8463917      7.4667478
cassis-17729024-0      1     10.0451927      7.8579049     10.0451927      7.8579049
cassis-17729792-0      1     10.7644482      8.9186430     13.0368843           -NaN
cassis-10476288-0      1     10.5561666      8.4175262     10.5561666      8.4175262
cassis-23015168-0      1      9.3417425      6.7543674     10.9229822      7.6090336
cassis-24192000-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-24160256-1      1      9.8467064      7.8757024      9.8467064      7.8757024
cassis-24194560-2      1      9.8657017      7.4746313      9.8657017      7.4746313
cassis-21768704-0      1      9.6747971      7.2357287      9.6747971      7.2357287
cassis-22390272-0      1      9.0501137      6.6839242      9.0501137      6.6839242
cassis-21767680-0      1      9.9487648      8.0076227      9.9487648      8.0076227
cassis-26906624-0      1      8.3820620      5.9696450      8.4083118      5.9995856
cassis-25388032-0      1     10.5866499      8.5901251     10.5866499      8.5901251
cassis-25388544-0      1     10.7912827      8.7563400     10.7912827      8.7563400
cassis-25389056-0      1     10.9301424      9.0958996     10.9301424      9.0958996
cassis-26330368-0      1      7.7699733      5.7267704      7.7699733      5.7267704
cassis-25389312-0      1      9.8403358      7.7810769      9.8403358      7.7810769
cassis-25976832-0      1      9.0071955      6.9950328      9.0071955      6.9950328
cassis-26916096-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-26915840-0      0      0.0000000      0.0000000      0.0000000      0.0000000
cassis-25977600-0      1      9.9510489      8.0497169      9.9510489      8.0497169
cassis-24172032-2      1      9.9585848      7.7325368      9.9585848      7.7325368
